Country,Year_2015,Year_2016
Aruba,104341,104822
Afghanistan,33736494,34656032
Angola,27859305,28813463
Albania,2880703,2876101
Andorra,78014,77281
Arab World,398304960,406452690
United Arab Emirates,9154302,9269612
Argentina,43417765,43847430
Armenia,2916950,2924816
American Samoa,55537,55599
Antigua and Barbuda,99923,100963
Australia,23789338,24127159
Austria,8633169,8747358
Azerbaijan,9649341,9762274
Burundi,10199270,10524117
Belgium,11274196,11348159
Benin,10575952,10872298
Burkina Faso,18110624,18646433
Bangladesh,161200886,162951560
Bulgaria,7177991,7127822
Bahrain,1371855,1425171
"Bahamas, The",386838,391232
Bosnia and Herzegovina,3535961,3516816
Belarus,9489616,9507120
Belize,359288,366954
Bermuda,65235,65331
Bolivia,10724705,10887882
Brazil,205962108,207652865
Barbados,284217,284996
Brunei Darussalam,417542,423196
Bhutan,787386,797765
Botswana,2209197,2250260
Central African Republic,4546100,4594621
Canada,35848610,36286425
Central Europe and the Baltics,103257751,102974082
Switzerland,8282396,8372098
Channel Islands,163758,164541
Chile,17762681,17909754
China,1371220000,1378665000
Cote d'Ivoire,23108472,23695919
Cameroon,22834522,23439189
"Congo, Dem. Rep.",76196619,78736153
"Congo, Rep.",4995648,5125821
Colombia,48228697,48653419
Comoros,777424,795601
Cabo Verde,532913,539560
Costa Rica,4807852,4857274
Caribbean small states,7204948,7245472
Cuba,11461432,11475982
Curacao,157979,159999
Cayman Islands,59963,60765
Cyprus,1160985,1170125
Czech Republic,10546059,10561633
Germany,81686611,82667685
Djibouti,927414,942333
Dominica,73162,73543
Denmark,5683483,5731118
Dominican Republic,10528394,10648791
Algeria,39871528,40606052
East Asia & Pacific (excluding high income),2036573886,2051452657
Early-demographic dividend,3127290269,3170542188
East Asia & Pacific,2281203360,2296786207
Europe & Central Asia (excluding high income),414975737,417424643
Europe & Central Asia,907424836,911995305
Ecuador,16144368,16385068
"Egypt, Arab Rep.",93778172,95688681
Euro area,339519210,340894606
Eritrea,,
Spain,46447697,46443959
Estonia,1315407,1316481
Ethiopia,99873033,102403196
European Union,509703315,511497415
Fragile and conflict affected situations,485147350,496575241
Finland,5479531,5495096
Fiji,892149,898760
France,66624068,66896109
Faroe Islands,48965,49117
"Micronesia, Fed. Sts.",104433,104937
Gabon,1930175,1979786
United Kingdom,65128861,65637239
Georgia,3717100,3719300
Ghana,27582821,28206728
Gibraltar,34228,34408
Guinea,12091533,12395924
"Gambia, The",1977590,2038501
Guinea-Bissau,1770526,1815698
Equatorial Guinea,1175389,1221490
Greece,10820883,10746740
Grenada,106823,107317
Greenland,56114,56186
Guatemala,16252429,16582469
Guam,161797,162896
Guyana,768514,773303
High income,1182929820,1190029421
"Hong Kong SAR, China",7305700,7346700
Honduras,8960829,9112867
Heavily indebted poor countries (HIPC),724482652,744602976
Croatia,4203604,4170600
Haiti,10711061,10847334
Hungary,9843028,9817958
IBRD only,4652578287,4697247117
IDA & IBRD total,6191917218,6271593092
IDA total,1539338931,1574345975
IDA blend,509396383,521159393
Indonesia,258162113,261115456
IDA only,1029942548,1053186582
Isle of Man,83167,83737
India,1309053980,1324171354
Ireland,4676835,4773095
"Iran, Islamic Rep.",79360487,80277428
Iraq,36115649,37202572
Iceland,330815,334252
Israel,8380100,8547100
Italy,60730582,60600590
Jamaica,2871934,2881355
Jordan,9159302,9455802
Japan,127141000,126994511
Kazakhstan,17544126,17797032
Kenya,47236259,48461567
Kyrgyz Republic,5956900,6082700
Cambodia,15517635,15762370
Kiribati,112407,114395
St. Kitts and Nevis,54288,54821
"Korea, Rep.",51014947,51245707
Kuwait,3935794,4052584
Latin America & Caribbean (excluding high income),603644865,610136397
Lao PDR,6663967,6758353
Lebanon,5851479,6006668
Liberia,4499621,4613823
Libya,6234955,6293253
St. Lucia,177206,178015
Latin America & Caribbean,631058524,637664490
Least developed countries: UN classification,957806497,980609415
Low income,641858608,659272676
